Content,manipulations
"⚡️ Z - технику укропы уже видят из Мариуполя Местные жители говорят, что уже зашли в Сартану, это ближайший пригород Мариуполя. Судя по валу видео продвижения колонн, после того, как Зеленский отказался от прекращения огня, активировались очень серьезные силы.","['Name_Calling,Labeling\t15\t21\n']"
"Assange Never Met Manafort.
 Luke Harding and the Guardian Publish Still More Blatant MI6 Lies
 
 The right wing Ecuadorean government of President Moreno continues to churn out its production line of fake documents regarding Julian Assange, and channel them straight to MI6 mouthpiece Luke Harding of the Guardian.
 Amazingly, more Ecuadorean Government documents have just been discovered for the Guardian, this time spy agency reports detailing visits of Paul Manafort and unspecified “Russians” to the Embassy.
 By a wonderful coincidence of timing, this is the day after Mueller announced that Manafort’s plea deal was over.
 The problem with this latest fabrication is that Moreno had already released the visitor logs to the Mueller inquiry.
 Neither Manafort nor these “Russians” are in the visitor logs.
 This is impossible.
 The visitor logs were not kept by Wikileaks, but by the very strict Ecuadorean security.
 Nobody was ever admitted without being entered in the logs.
 The procedure was very thorough.
 To go in, you had to submit your passport (no other type of document was accepted).
 A copy of your passport was taken and the passport details entered into the log.
 Your passport, along with your mobile phone and any other electronic equipment, was retained until you left, along with your bag and coat.
 I feature in the logs every time I visited.
 There were no exceptions.
 For an exception to be made for Manafort and the “Russians” would have had to be a decision of the Government of Ecuador, not of Wikileaks, and that would be so exceptional the reason for it would surely have been noted in the now leaked supposed Ecuadorean “intelligence report” of the visits.
 What possible motive would the Ecuadorean government have for facilitating secret unrecorded visits by Paul Manafort?
 Furthermore it is impossible that the intelligence agency – who were in charge of the security – would not know the identity of these alleged “Russians”.
 Previously Harding and the Guardian have published documents faked by the Moreno government regarding a diplomatic appointment to Russia for Assange of which he had no knowledge.
 Now they follow this up with more documents aimed to provide fictitious evidence to bolster Mueller’s pathetically failed attempt to substantiate the story that Russia deprived Hillary of the Presidency.
 My friend William Binney, probably the world’s greatest expert on electronic surveillance, former Technical Director of the NSA, has stated that it is impossible the DNC servers were hacked, the technical evidence shows it was a download to a directly connected memory stick.
 I knew the US security services were conducting a fake investigation the moment it became clear that the FBI did not even themselves look at the DNC servers, instead accepting a report from the Clinton linked DNC “security consultants” Crowdstrike.
 I would love to believe that the fact Julian has never met Manafort is bound to be established.
 But I fear that state control of propaganda may be such that this massive “Big Lie” will come to enter public consciousness in the same way as the non-existent Russian hack of the DNC servers.
 Assange never met Manafort.
 The DNC emails were downloaded by an insider.
 Assange never even considered fleeing to Russia.
 Those are the facts, and I am in a position to give you a personal assurance of them.
 I can also assure you that Luke Harding, the Guardian, Washington Post and New York Times have been publishing a stream of deliberate lies, in collusion with the security services.
 I am not a fan of Donald Trump.
 But to see the partisans of the defeated candidate (and a particularly obnoxious defeated candidate) manipulate the security services and the media to create an entirely false public perception, in order to attempt to overturn the result of the US Presidential election, is the most astonishing thing I have witnessed in my lifetime.
 Plainly the government of Ecuador is releasing lies about Assange to curry favour with the security establishment of the USA and UK, and to damage Assange’s support prior to expelling him from the Embassy.
 He will then be extradited from London to the USA on charges of espionage.
 Assange is not a whistleblower or a spy – he is the greatest publisher of his age, and has done more to bring the crimes of governments to light than the mainstream media will ever be motivated to achieve.
 That supposedly great newspaper titles like the Guardian, New York Times and Washington Post are involved in the spreading of lies to damage Assange, and are seeking his imprisonment for publishing state secrets, is clear evidence that the idea of the “liberal media” no longer exists in the new plutocratic age.
 The press are not on the side of the people, they are an instrument of elite control.
 
","['Loaded_Language\t2230\t2258\n', 'Doubt\t4389\t4786\n', 'Appeal_to_Authority\t3146\t3353\n', 'Repetition\t1427\t1440\n', 'Causal_Oversimplification\t3902\t4181\n', 'Appeal_to_fear-prejudice\t2953\t3144\n', 'Loaded_Language\t77\t93\n', 'Exaggeration,Minimisation\t3842\t3900\n', 'Name_Calling,Labeling\t1427\t1440\n', 'Name_Calling,Labeling\t3624\t3667\n', 'Name_Calling,Labeling\t472\t493\n', 'Name_Calling,Labeling\t4231\t4264\n', 'Exaggeration,Minimisation\t2358\t2421\n', 'Name_Calling,Labeling\t268\t283\n', 'Doubt\t1949\t2330\n', 'Doubt\t3568\t3900\n', 'Name_Calling,Labeling\t771\t779\n', 'Loaded_Language\t3968\t3984\n', 'Loaded_Language\t511\t547\n', 'Doubt\t95\t311\n', 'Name_Calling,Labeling\t3579\t3619\n', 'Causal_Oversimplification\t3355\t3534\n', 'Exaggeration,Minimisation\t4266\t4387\n', 'Loaded_Language\t165\t213\n', 'Causal_Oversimplification\t3146\t3353\n', 'Exaggeration,Minimisation\t3014\t3035\n', 'Name_Calling,Labeling\t4198\t4223\n', 'Appeal_to_Authority\t3355\t3534\n', 'Exaggeration,Minimisation\t4231\t4264\n', 'Name_Calling,Labeling\t2367\t2421\n', 'Doubt\t2608\t2855\n', 'Name_Calling,Labeling\t1938\t1946\n', 'Doubt\t3382\t3534\n']"
"Sodom and Gomorrah was Judged by God Because Men Refused to Keep His Commandments in Dealing with the Wicked!
 
 “How ridiculous to overlook judgment because of kindness then love wounds itself by killing justice!” -Charles Haddon Spurgeon
 How often I see and hear the professors of Christianity today walking contrary to the word and spirit of the Living Christ (2 Corinthians 3:6).
 How willing they are to overlook judgment when it comes to the criminals that run rampant in this country, and on the other hand how willing they are to show compassion to the criminals while overlooking the victims.
 Why?
 “Evil men understand not judgment” (Proverbs 28:5).
 If you read the preceding verse, you will see that Scripture tells us “they that forsake the law praise the wicked.”
 take our poll - story continues below
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 * Yes, he will be confirmed.
 No, he will not be confirmed.
 Email *
 Phone This field is for validation purposes and should be left unchanged.
 Completing this poll grants you access to Freedom Outpost updates free of charge.
 You may opt out at anytime.
 You also agree to this site's Privacy Policy and Terms of Use.
 This is exactly the Scriptural point that I want to make.
 From the pulpits in America today we here the events unfold of Sodom and Gomorra and how Abraham should have prayed longer in hopes that God would have spared them rather than the righteous people in Sodom and Gomorra doing what God had commanded.
 And of course, not a second thought on man's behalf is given concerning the victims in these two cities.
 Here is Abraham’s account…
 “And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
 And the Lord said, Shall I hide from Abraham that thing which I do; Seeing that Abraham shall surely become a great and mighty nation, and all the nations of the earth shall be blessed in him?
 For I know him, that he will command his children and his household after him, and they shall keep the way of the Lord, to do justice and judgment; that the Lord may bring upon Abraham that which he hath spoken of him.
 And the Lord said, Because the cry of Sodom and Gomorrah is great, and because their sin is very grievous; I will go down now, and see whether they have done altogether according to the cry of it, which is come unto me; and if not, I will know.
 And the men turned their faces from thence, and went toward Sodom: but Abraham stood yet before the Lord.
 And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?
 Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty righteous that are therein?
 That be far from thee to do after this manner, to slay the righteous with the wicked: and that the righteous should be as the wicked, that be far from thee: Shall not the Judge of all the earth do right?
 And the Lord said, If I find in Sodom fifty righteous within the city, then I will spare all the place for their sakes.
 And Abraham answered and said, Behold now, I have taken upon me to speak unto the Lord, which am but dust and ashes: Peradventure there shall lack five of the fifty righteous: wilt thou destroy all the city for lack of five?
 And he said, If I find there forty and five, I will not destroy it.
 And he spake unto him yet again, and said, Peradventure there shall be forty found there.
 And he said, I will not do it for forty's sake.
 And he said unto him, Oh let not the Lord be angry, and I will speak: Peradventure there shall thirty be found there.
 And he said, I will not do it, if I find thirty there.
 And he said, Behold now, I have taken upon me to speak unto theLord: Peradventure there shall be twenty found there.
 And he said, I will not destroy it for twenty's sake.
 And he said, Oh let not the Lord be angry, and I will speak yet but this once: Peradventure ten shall be found there.
 And he said, I will not destroy it for ten's sake.
 And the Lord went his way, as soon as he had left communing with Abraham: and Abraham returned unto his place.""
 -Genesis 18:16-33
 Got questions.org explains very well…
 Genesis chapter 19 records the two angels, disguised as human men, visiting Sodom and Gomorrah.
 Lot met the angels in the city square and urged them to stay at his house.
 The angels agreed.
 The Bible then informs us, ""Before they had gone to bed, all the men from every part of the city of Sodom — both young and old — surrounded the house.
 They called to Lot, 'Where are the men who came to you tonight?
 Bring them out to us so that we can have sex with them.
 Genesis 19:4-5 The angels then proceed to blind all the men of Sodom and Gomorrah and urge Lot and his family to flee from the cities to escape the wrath that God was about to deliver.
 Lot and his family flee the city, and then ""the LORD rained down burning sulfur on Sodom and Gomorrah — from the LORD out of the heavens.
 Thus he overthrew those cities and the entire plain, including all those living in the cities..."" (Genesis 19:2 4) .
 In light of the passage, the most common response to the question, ""What was the sin of Sodom and Gomorrah?""
 is that it was homosexuality.
 That is how the term ”sodomy” came to be used to refer to anal sex between two men, whether consensual or forced.
 Clearly, homosexuality was part of the reason God destroyed the two cities.
 The men of Sodom and Gomorrah wanted to perform homosexual gang rape on the two angels, who were disguised as men.
 At the same time, it is not biblical to say that homosexuality was the exclusive reason why God destroyed Sodom and Gomorrah.
 The cities of Sodom and Gomorrah were definitely not exclusive in terms of the sins in which they indulged.
 Ezekiel 16:49-50 declares, ""Now this was the sin of your sister Sodom: She and her daughters were arrogant, overfed and unconcerned; they did not help the poor and needy.
 They were haughty and did detestable things before me..."" The Hebrew word translated ""detestable"" refers to something that is morally disgusting and is the exact same word used in Leviticus 18:22 that refers to homosexuality as an ""abomination.""
 Similarly, Jude 7 declares, ""...Sodom and Gomorrah and the surrounding towns gave themselves up to sexual immorality and perversion.""
 So, again, while homosexuality was not the only sin in which the cities of Sodom and Gomorrah indulged, it does appear to be the primary reason for the destruction of the cities.
 Those who attempt to explain away the biblical condemnations of homosexuality claim that the sin of Sodom and Gomorrah was inhospitality.
 The men of Sodom and Gomorrah were certainly being inhospitable.
 There is probably nothing more inhospitable than homosexual gang rape.
 But to say God completely destroyed two cities and all their inhabitants for being inhospitable clearly misses the point.
 While Sodom and Gomorrah were guilty of many other horrendous sins, homosexuality was the reason God poured fiery sulfur on the cities, completely destroying them and all of their inhabitants.
 To this day, the area where Sodom and Gomorrah were located remains a desolate wasteland.
 Sodom and Gomorrah serve as a powerful example of how God feels about sin in general, and homosexuality specifically.
 The point is that there were no righteous to be spared and the Lord did what man failed to do when they had the time to do it.
 Question: How do you show mercy to a people who observe lying vanities (Jonah 2:4) and refuse to return to the Lord (Jeremiah 6:16) on His terms?
 (Jeremiah 22:3) God must be true and judgment must commence.
 Men today, like those of Sodom and Gomorrah, are not valiant for the truth.
 They are valiant to proceed from evil to evil (Jeremiah 5).
 They care more about the pleasures of sin for a season, than they are grieved for the afflictions of Joseph (Amos 6:6; Hebrews 11:25).
 Men today care more of compromise (where two men both agree on what they both know is wrong) and diplomacy (seduction in another guise) in promoting anarchy through “antinomianism” than they do the Law of God against the sins unto judgment that enslave men (John 8:34).
 Instead of establishing judgment within the gate and hating the evil and loving the good (Amos 5:15) in hopes that the Lord may be gracious to their repentance (2 Corinthians 7:10), they reject the counsel of God against them by hating the good and loving the evil, and that to their own damnation.
 They care more about the approbation and favor of men than they do that of the Living God and what His Word declares (Galatians 1:10),not knowing that which his highly favored among men is an abomination unto the Lord (Luke 16:15).
 They wear the cross.
 Yet, they have no testimony of the power of God unto salvation by the cross because they do not practice what Christ required: “Deny yourselves and take up your cross and follow Me” (Matthew 16:24; Romans 1:16; 2 Corinthians 5:15, 13:4-5; Galatians 2:21).
 Professed Christians in America today talk much of love through inaction, and yet know nothing of it (1 John 3:18).
 They read what to do, but do it not!
 In fact, they declare and proclaim how much they love God, and yet if you were to have them read His moral law and look to their own lives, they would find how much they actually hate God through their actions (Matthew 15:8).
 Then again, these were the same types of people in Jerusalem crying out ""Crucify him!
 Crucify him!
 We have no king but Caesar"" (John 19:15).
 And these are the same people today persecuting living Christians while praising the dead ones (Matthew 5:10).
 They continuously preach of the heroism of Abraham, Moses, Joshua, David, Gideon, Samson and others from the pulpit and fail to understand what these men were doing when serving their generations (Psalm 71:18-19; Isaiah 51:4).
 Today, instead of doing the same, they simply hide under a false grace (Isaiah 30) and give themselves over to a man, the president, and declare end times.
 They declare we're in the end times because they have failed to stand up and fight for their posterity in keeping the Lord's commandments and His judgments (Psalm 78:1-11).
 Ungrateful reprobates, pretenders, counterfeits and hypocrites are what they are (Matthew 23:3).
 Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.
 Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18).
 Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down.
 And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18).
 The American Church, instead of protesting corruption in government through the example of the Biblical patriarchs and our American forefathers (Matthew 5:17-18), teach to submit to tyranny as if to suggest that it is somehow obedience to God (Romans 12:21).
 The Church in America has failed to keep the Commandments of the God of Israel.
 Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.
 Look to their feigned strength that they profess to possess.
 It is gauged by simply looking to the prevailing immoralities and debauchers of society.
 They are weak and pathetic and they have no excuses as to why America is where we is today!
 Why did God judge Sodom and Gomorrah?
 It's the same reason that he is judging America today (Amos 4:12), He cannot find the righteous in order to spare her (Jeremiah 22:3).
 Defining the Wicked…
 Wicked men in the sight of God are those who have the knowledge of what to do when it comes to the right, but over and over again, they turn their shoulders and choose the wrong, through tolerance and apathy Americans are bringing upon themselves destruction (Deuteronomy 30:19) that will not be reversed, which leaves no alternative as to why God judges and is judging America today (Deuteronomy 28:63).
 Article posted with permission from Sons Of Liberty Media
 
","['Name_Calling,Labeling\t2959\t2969\n', 'Causal_Oversimplification\t0\t108\n', 'Doubt\t10765\t10929\n', 'Name_Calling,Labeling\t4963\t4972\n', 'Loaded_Language\t6149\t6168\n', 'Loaded_Language\t112\t127\n', 'Loaded_Language\t5533\t5589\n', 'Name_Calling,Labeling\t2681\t2691\n', 'Name_Calling,Labeling\t12131\t12141\n', 'Loaded_Language\t10840\t10869\n', 'Doubt\t10346\t10762\n', 'Repetition\t2911\t2921\n', 'Causal_Oversimplification\t11987\t12105\n', 'Doubt\t11503\t11705\n', 'Flag-Waving\t10346\t10527\n', 'Loaded_Language\t12365\t12402\n', 'Doubt\t11423\t11501\n', 'Name_Calling,Labeling\t10249\t10312\n', 'Name_Calling,Labeling\t9062\t9100\n', 'Appeal_to_fear-prejudice\t727\t770\n', 'Loaded_Language\t4972\t4999\n', 'Doubt\t238\t361\n', 'Name_Calling,Labeling\t7411\t7421\n', 'Doubt\t7516\t7650\n', 'Doubt\t11707\t11947\n', 'Doubt\t12322\t12402\n', 'Causal_Oversimplification\t12449\t12527\n', 'Causal_Oversimplification\t7046\t7169\n', 'Name_Calling,Labeling\t3326\t3335\n', 'Loaded_Language\t7029\t7044\n', 'Loaded_Language\t6785\t6854\n', 'Flag-Waving\t11503\t11705\n', 'Repetition\t8553\t8563\n', 'Loaded_Language\t7079\t7099\n', 'Doubt\t10931\t11420\n', 'Flag-Waving\t11857\t11947\n', 'Name_Calling,Labeling\t2809\t2819\n', 'Name_Calling,Labeling\t2932\t2946\n', 'Doubt\t9062\t9438\n', 'Loaded_Language\t173\t210\n', 'Name_Calling,Labeling\t11255\t11308\n', 'Loaded_Language\t11802\t11855\n', 'Causal_Oversimplification\t7261\t7377\n', 'Loaded_Language\t6346\t6400\n', 'Loaded_Language\t460\t472\n', 'Name_Calling,Labeling\t98\t108\n', 'Name_Calling,Labeling\t2892\t2906\n', 'Name_Calling,Labeling\t12069\t12083\n', 'Name_Calling,Labeling\t6255\t6266\n', 'Name_Calling,Labeling\t3085\t3095\n', 'Name_Calling,Labeling\t2662\t2676\n', 'Loaded_Language\t11333\t11354\n', 'Name_Calling,Labeling\t2721\t2731\n', 'Name_Calling,Labeling\t2911\t2921\n', 'Doubt\t382\t597\n', 'Loaded_Language\t4699\t4732\n', 'Repetition\t2809\t2819\n', 'Flag-Waving\t10765\t10929\n', 'Name_Calling,Labeling\t5923\t6076\n']"
"На сегодняшний день, общий внешний долг ""государства Украина"" подбирается к 200 млрд. долларов США, этот долг продолжает расти. Подробнее по ссылке: https://arbaletfire.livejournal.com/281657.html",['Loaded_Language\t40\t61\n']
"Украинские СМИ публикуют видео и фото, на которых видны разрушения жилого дома в Киеве, куда предположительно попал снаряд",[]
"⚡️ В санкционные списки Евросоюза попали Медведев, Колокольцев, Иванов, Мишустин. @rt_russian",[]
МИД Латвии внёс Николая Баскова в чёрный список за поддержку «российской агрессии против Украины». @rt_russian,"['Exaggeration,Minimisation\t62\t96\n']"
"Посольство США удалило с сайта информацию об открытии биологической лаборатории на Украине: Агентство по сокращению военной угрозы минобороны США (DTRA) в октябре 2021 года опубликовало на сайте американских госзакупок допсоглашение о «борьбе с особо опасными патогенами». Документ касается завершающего этапа работ по запуску двух биолабораторий – в Киеве и Одессе. В нём идёт речь об оснащении, тренинге персонала и вводе объектов в эксплуатацию. Стоимость работ составляет 3,6 млн долларов, впрочем ряд цифр в документе скрыт из соображений секретности. Также сообщается о более чем 90-процентной готовности лабораторий и семимесячной задержке завершения проекта (мы выделили красным) – от даты подписания документа (июль 2021 года) до конца февраля 2022-го.","['Exaggeration,Minimisation\t80\t90\n', 'Appeal_to_Authority\t557\t573\n']"
"В сумах во всю идёт вторая волна переброски техники ВС РФ. Судя по всему, город под полным контролем российских войск","['Thought-terminating_Cliches\t59\t72\n', 'Exaggeration,Minimisation\t8\t19\n']"
⚡️ Воздушная тревога в Ровно и Виннице.,[]
"❗️ Meta (Facebook) отказалась исполнять требования Роскомнадзора по аккаунтам «Звезды», «РИА Новости», «Ленты.ру» и «Газеты.ру». В случае неисполнения требований соцсети может грозить блокировка .",[]
"NASA releases images captured at a record-breaking 3.79 billion miles from Earth
 
 NASA has a whole lot of fancy image-gathering hardware on Earth and in space, and we’ve seen countless of stunning snapshots taken from here on Earth as well as nearby planets like Mars, Jupiter and Saturn.
 The pictures are often gorgeously detailed eye candy, but the latest batch of images from the space agency is remarkable for an entirely different reason.
 Captured by NASA’s New Horizons spacecraft, the images were gathered at a greatest distance from Earth than any in the history of mankind.
 So, just how far is “the farthest ever”?
 Right around 3.79 billion miles.
 Yeah, it’s kind of crazy.
 There are three images in total, each focusing on a different distant object.
 The subjects include the ‘Wishing Well’ star cluster as well as two large objects in the Kuiper Belt which have never been observed from such a distance before.
 “New Horizons has long been a mission of firsts — first to explore Pluto, first to explore the Kuiper Belt, fastest spacecraft ever launched,” New Horizons Principal Investigator Alan Stern, of the Southwest Research Institute in Boulder, Colorado, notes in a statement.
 “And now, we’ve been able to make images farther from Earth than any spacecraft in history.”
 The images, as seen above (Kuiper Belt objects) and below (Wishing Well cluster), are somewhat grainy and not the most detailed we’ve seen from NASA, but that doesn’t make the feat any less remarkable.
 New Horizons originally launched way back in early 2006, and it the spacecraft has made close passes of a number of planets during its more than a decade of cruising through our Solar System.
 Its primary mission was set to last roughly 10 years, but was extended once it became clear that the spacecraft was healthy enough to continue sending back observations for a while longer.
 Its new extended mission will wrap up in early 2021 after it performs a number of flybys of large objects in the Kuiper Belt that scientists want to learn more about.
 However, that might not be the last we hear from New Horizons, as its power source could continue to provide life into 2026 and beyond.
 If it makes it that long, NASA plans to use the spacecraft to study the outer heliosphere.
 
","['Thought-terminating_Cliches\t657\t681\n', 'Loaded_Language\t188\t196\n', 'Exaggeration,Minimisation\t1030\t1062\n', 'Loaded_Language\t35\t51\n', 'Exaggeration,Minimisation\t33\t51\n', 'Loaded_Language\t312\t341\n', 'Loaded_Language\t657\t681\n', 'Loaded_Language\t106\t137\n', 'Exaggeration,Minimisation\t1234\t1283\n', 'Exaggeration,Minimisation\t516\t581\n']"
"""Врагу не сдаётся наш гордый"" Варяг"". Ясно-понятно. Мы собственно и не сомневались https://t.me/voenacher/9953","['Slogans\t0\t36\n', 'Thought-terminating_Cliches\t38\t50\n']"
