Content,manipulations
"Решение комитета министров Совета Европы о приостановке прав России означает конец существования данной организации, заявила Мария Захарова в эфире Первого канала.","Flag-Waving	0	115
Exaggeration,Minimisation	0	115
Appeal_to_Authority	117	162
"
"Groups of Migrants Heading to San Diego Will Be Met With Barricades And Razor Fences (Videos)

The Military continues to put up razor wire at the border in San Ysidro as a migrant caravan is expected to reach Tijuana.
United States military and border protection agents have been erecting barricades with razor wire at the point of entry near San Diego, California, as the first groups of migrants arrived at the US-Mexico border.
Hundreds of migrants who had split off from the main ‘caravan’ of thousands arrived in Tijuana early Tuesday on nine buses.
Numbering just over 350, they joined an initial smaller group of around 85 people, mostly members of the LGBT community, who’d experienced discrimination within the main crowd and were helped to make it to the Mexican border town even earlier on Sunday.
Military crews continue to put up razor wire at the border in San Ysidro as a migrant caravan is expected to reach Tijuana.
https://t.co/mQH6eqrBNy pic.twitter.com/4IXGNAfSem — Danielle Radin (@danielleradin) November 13, 2018
Here are the three lanes that were shut down at the San Ysidro port of entry in TJ today in anticipation of the caravan.
There are seven US army members here with CBP at the moment.
Story with @Haleaziz on this https://t.co/SpLVnl3bAT pic.twitter.com/1nGFRNJanJ take our poll - story continues below Should Jim Acosta have gotten his press pass back?
Should Jim Acosta have gotten his press pass back?
Should Jim Acosta have gotten his press pass back?
* Yes, he should have gotten it back.
No, you can't act like a child and keep your pass.
Maybe?
I'm not sure if he should have.
Email *
Email This field is for validation purposes and should be left unchanged.
Completing this poll grants you access to Truth Uncensored updates free of charge.
You may opt out at anytime.
You also agree to this site's Privacy Policy and Terms of Use.
— Adolfo Flores (@aflores) November 13, 2018
RT reports:
In anticipation of potential clashes at the border, American soldiers have begun reinforcing their positions.
“Department of Defense personnel are installing concertina wire, and pre-positioning jersey barriers, barricades, and fencing,” US Customs and Border Protection (CBP) said in a statement.
US Marines instal wire along the primary border wall at the port of entry next to Tijuana in San Ysidro, San Diego.🇺🇸 pic.twitter.com/aX0bznl2bm — The Real Lonnieღ IV (@lonnieloveiv) November 13, 2018
A snaking line of traffic is visible at the San Ysidro Port of Entry after CBP announced it would close multiple entry lanes into the U.S. at two San Diego-area ports of entry in anticipation of the so-called migrant caravan's arrival.
https://t.co/92mOg1XNqu pic.twitter.com/mrQU6HYAgH — #NBC7 San Diego (@nbcsandiego) November 13, 2018
To tackle any “potential safety and security risk,” the CBP also announced lane closures at the San Ysidro and Otay Mesa ports of entry, to install “port hardening infrastructure equipment” in preparation for the migrant caravan arrival.
Currently, several thousand predominantly male Central American migrants heading for the US are in the western Mexico city of Guadalajara.
Most of them intend to take the Pacific coast route to reach the US, which is still about 1,500 miles away.
A group of migrants is gathered on the Mexico side of the U.S/Mexico border fence in San Diego.
None have fully climbed over, just sitting on the fence.
pic.twitter.com/S8nUzjzKyZ — Kelly Biele (@kellytvnews) November 14, 2018
Photos posted on WhatsApp of the San Ysidro port of entry today.
pic.twitter.com/MzQoN4mbrr — Andrew Dyer 🛴 (@SDUTdyer) November 13, 2018
Troops getting ready to close off three NB vehicle lanes at the San Ysidro Port Entry and one at the Otay Mesa Port of Entry.
They’ll be putting up barriers and razor wire in preparation for the migrant caravan headed to the US/Mexico border.
@10News pic.twitter.com/rc6YsAF5VQ — Mimi Elkalla (@10NewsMimi) November 13, 2018
To deal with the perceived threat the US has deployed 5,200 troops to help more than 2,000 National Guardsmen thwart what President Trump describes as an impending migrant“invasion.”
Over the past few weeks, the active-duty servicemen deployed under Operation Faithful Patriot have mainly been erecting barbed-wire fences along the border in Texas, California and Arizona, as well as building shelter accommodation for customs and border protection staff.
To ensure the success of the military operation, in addition to sheer troop numbers, the US forces have drones, helicopters with night-vision capabilities, and fixed-wing aircraft at their disposal.

","Repetition	3811	3831
"
"В этом списке особенно пикантно выглядит Украина. Которая закрыла свое воздушное пространство для российских гражданских самолетов, но полностью его открыло для самолетов ВКС России. https://t.me/uranews/43247","Loaded_Language	14	31
"
"?? ?? ⚡️ В ходе боевых действий захвачено большое количество вооружений, поставленных западными странами на Украину за последние несколько месяцев — Минобороны РФ ❗ ?? ?? Минобороны России: российскими вооруженными силами выведено из строя 211 военных объектов военной инфраструктуры Украины, среди них 17 пунктов управления и узлов связи, 19 комплексов ПВО С-300 и ""Оса"", 39 радиолокационных станций. Сбиты 6 боевых самолетов, 1 вертолет, 5 беспилотников, уничтожены 67 танков и других боевых бронемашин, 16 реактивных систем залпового огня. ?? ?? ⚡️ Войска ДНР, прорвав подготовленную оборону националистических батальонов, вышли к Волновахе — Минобороны РФ ?? ?? ?? ?? ⚡️ Минобороны РФ: среди трофеев - американские противотанковые ракетные комплексы Javelin и британские NLAW","Name_Calling,Labeling	595	624
Appeal_to_Authority	149	164
Exaggeration,Minimisation	552	562
Appeal_to_Authority	646	659
"
"As Honduran Caravan Reaches The Border, Trump Threatens To Send In The Military

President Donald Trump has threatened to send the military to the United States’ southern border with Mexico to stop a caravan of illegal immigrants coming from Honduras.
As of now, the migrant caravan has grown in size to over 4,000 people.
“I must, in the strongest of terms, ask Mexico to stop this onslaught – and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!” Trump wrote of the caravan in a series of tweets on Twitter.
….In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught – and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!..
— Donald J. Trump (@realDonaldTrump) October 18, 2018
According to Breitbart, the caravan of migrants that began in Honduras has grown to several thousand people after passing into Guatemala as it heads for the Mexican border.
Other Hondurans are leaving the country to join the caravan of illegal immigrants attempting to illegally enter the United States against president Trump’s wishes.
I am watching the Democrat Party led (because they want Open Borders and existing weak laws) assault on our country by Guatemala, Honduras and El Salvador, whose leaders are doing little to stop this large flow of people, INCLUDING MANY CRIMINALS, from entering Mexico to U.S….. — Donald J. Trump (@realDonaldTrump) October 18, 2018
Trump also threatened to stop all federal foreign aid payments to Guatemala, Honduras, and El Salvador if the countries failed to block the flow of illegal immigrants and blamed Democrats for rejecting a reform of immigration laws allowing them to claim asylum.
He also claimed that the caravan included criminals.
Trump appeared willing to end his new trade deal with Mexico as well if the caravan was not stopped.
….The assault on our country at our Southern Border, including the Criminal elements and DRUGS pouring in, is far more important to me, as President, than Trade or the USMCA.
Hopefully Mexico will stop this onslaught at their Northern Border.
All Democrats fault for weak laws!
— Donald J. Trump (@realDonaldTrump) October 18, 2018
According to NBC News, the caravan has increased in size to over 4,000.
The media outlet also reported that the Mexican government has sent 500 additional federal police to its border with Guatemala in anticipation of their arrival, according to U.S. government documents obtained by NBC News.
Part of the caravan, which has split into two groups, is approaching the Mexico-Guatemala border amid a surge in border crossings on the U.S.-Mexico border.
In September, U.S. Border Patrol agents apprehended more than 41,400 undocumented immigrants, up from 37,544 in August, according to numbers not yet released publicly but obtained by NBC News.
The Washington Post reported Wednesday that the numbers of families and children traveling on their own surged to record levels in September.

","Loaded_Language	2170	2179
Flag-Waving	461	482
Appeal_to_fear-prejudice	1436	1460
Black-and-White_Fallacy	399	482
Flag-Waving	1980	1991
Flag-Waving	1995	2015
Loaded_Language	1969	1976
Loaded_Language	383	392
Exaggeration,Minimisation	335	348
"
⚡️ Мы не видим возможности признавать демократическим нынешнее правительство Украины — Лавров,"Appeal_to_Authority	87	93
"
"‼️ МОЩНЫЙ ВЗРЫВ: НАНЕСЁН УДАР ПО КРУПНЕЙИМ СКЛАДАМ БОЕПРИПАСОВ ВСУ В БАЛАКЛЕЕ Взрывы и пожар на арсенале после авиаудара ВКС РФ в Харьковской области, передают с места. t.me/RVvoenkor","Exaggeration,Minimisation	33	42
"
?? ?? Z-автопробег в Белграде в поддержку России,"Flag-Waving	32	48
Loaded_Language	6	18
"
"‼️ Помните рассказ Зеленского про убитых военнослужащих на острове Змеином ? ??? Эта тварь посмертно наградила их званием героев Украины. А они вот, живые, в Севастополе, получают сухпайки и отправляются проходить юридические процедуры. Гуманизм как он есть, никому не нужны жертвы, сдавайтесь! https://t.me/RIA82rf/18938 Подписывайся @sev_polit_takt чтобы ничего не пропустить","Name_Calling,Labeling	81	90
Thought-terminating_Cliches	237	257
Slogans	259	294
Loaded_Language	0	2
"
"⚡️ Украинская сторона заявила, что пересматривает идею проведения переговоров с Россией в Минске, выбрала Варшаву, после чего «исчезла», сообщил Песков. Пауза в размышлениях Киева о переговорах сопровождается развёртыванием систем залпового огня в жилых кварталах, включая Киев, заявил он.","Causal_Oversimplification	194	263
"
"What Happens After Islamic Conquest?

Constantinople fell to the warriors of jihad on May 29, 1453.
Usually after reporting that, Western historians turn their attention away.
But in my new book The History of Jihad From Muhammad to ISIS , I detail what happened next.
The Byzantine scholar Bessarion wrote to the Doge of Venice two months after the conquest, in July 1453, saying that Constantinople had been
…sacked by the most inhuman barbarians and the most savage enemies of the Christian faith, by the fiercest of wild beasts.
take our poll - story continues below Will Brett Kavanaugh be confirmed to the Supreme Court?
Will Brett Kavanaugh be confirmed to the Supreme Court?
Will Brett Kavanaugh be confirmed to the Supreme Court?
* Yes, he will be confirmed.
No, he will not be confirmed.
Email *
Phone This field is for validation purposes and should be left unchanged.
Completing this poll grants you access to Freedom Outpost updates free of charge.
You may opt out at anytime.
You also agree to this site's Privacy Policy and Terms of Use.
The public treasure has been consumed, private wealth has been destroyed, the temples have been stripped of gold, silver, jewels, the relics of the saints, and other most precious ornaments.
Men have been butchered like cattle, women abducted, virgins ravished, and children snatched from the arms of their parents.
So much for the much-vaunted Islamic “tolerance” in Europe, the tales of which Islamic scholar Akbar Ahmed is using to fool gullible Westerners today, and soften their resistance to mass Muslim migration into Europe and North America.
Don’t allow yourself to be fooled: arm yourself with the truth by preordering The History of Jihad From Muhammad to ISIS — click here to do so now.
Article posted with permission from Robert Spencer

","Loaded_Language	411	418
Name_Calling,Labeling	61	83
Name_Calling,Labeling	1493	1513
Appeal_to_fear-prejudice	1604	1725
Loaded_Language	1053	1367
"
