Content,manipulations
"Могу бесконечно наблюдать как горит укропский арсенал в Балаклее. От содержимого тех складов уже не пострадает ни один нормальный человек. На ненормальных, у нас свои склады есть",['Flag-Waving\t36\t45\n']
"В Харьковской области 302-й зенитный ракетный полк ВСУ, оснащенный комплексами ПВО «Бук М-1», добровольно сложил оружие и сдался, сообщили в Минобороны. Был задержан 471 украинский военнослужащий .",[]
"Сергей Лавров сообщил, что обсудил с первым заместителем главы МИД ДНР Сергеем Пересадой и руководителем МИД ЛНР Владиславом Дейнего открытие дипломатических представительств ЛНР и ДНР в Москве и российских дипломатических миссий в Донецке и Луганске.",[]
"МИД Германии сообщил, что зафиксирован поток беженцев с Украины. Также в министерстве заявили, что дипломатов ФРГ эвакуировали с Украины в Польшу. @rt_russian",[]
"❗️ На проспекте Победы был взорван мост у метро ""Берестейская"", российские войска двигаются в сторону Шулявки, сообщает Vgorode.",[]
"Кстати, какой бы Лещенко не был пропагандистом, но тут он прав. Путин даёт намек для политической элиты и тех, кто принимает решения, если возьмете власть и закончите войну, получите места в новой украинской политической реальности.","['Name_Calling,Labeling\t8\t46\n', 'Straw_Men\t64\t132\n']"
⚡️ Фейсбук и Инстаграм начали работать с перебоями — Downdetector,[]
"Украина изолировала Крым не только от воды, но и от других жизненно важных ресурсов. Об этом рассказала в нашем стриме  «Летучка»  председатель украинской общины Крыма Анастасия Гридчина: «У нас помимо того, что была водная блокада, была энергетическая блокада, когда весь Крым остался без света. Причём это было настолько неожиданно, что меня лично отключение света застало в центре города, моего мужа ― на светофоре: отключился светофор. Это была ночь, и мы все остались в кромешной темноте. Далее последовала продуктовая блокада, когда в Крым не давали пускать продовольствие. Конечно, тогда РФ оперативно среагировала, мы не почувствовали нехватки продуктов, но сам факт». Подписывайтесь на наш канал . @rt_russian","['Appeal_to_Authority\t85\t167\n', 'Exaggeration,Minimisation\t59\t74\n', 'Appeal_to_fear-prejudice\t457\t492\n', 'Loaded_Language\t475\t484\n', 'Appeal_to_fear-prejudice\t494\t531\n', 'Thought-terminating_Cliches\t663\t674\n', 'Loaded_Language\t313\t333\n', 'Loaded_Language\t367\t374\n', 'Loaded_Language\t580\t587\n', 'Loaded_Language\t598\t621\n']"
"Ох и глупые слова Пескова про Минск. Отличный способ деморализовать войска и патриотических лидеров мнений. И разве Администрация Путина не усвоила, чем заканчивается посредничество Минска? Хотя мне и говорят, что Зеленского хотят судить, такое не может не приводить в гнев. Не удивлюсь, если появится опровержение или Песков даст заднюю. Уж очень не к месту.","['Loaded_Language\t5\t11\n', 'Loaded_Language\t0\t4\n', 'Loaded_Language\t37\t45\n', 'Loaded_Language\t245\t256\n', 'Loaded_Language\t275\t286\n', 'Loaded_Language\t326\t337\n', 'Loaded_Language\t339\t341\n', 'Loaded_Language\t348\t358\n', 'Loaded_Language\t245\t273\n', 'Doubt\t110\t115\n', 'Flag-Waving\t149\t188\n', 'Flag-Waving\t77\t91\n', 'Red_Herring\t275\t292\n', 'Appeal_to_fear-prejudice\t214\t237\n']"
Ровно перестрелки из крупнокалиберных пулеметов.,['Appeal_to_fear-prejudice\t6\t47\n']
"⚡️ ВСУ обстреливают освобождённую Николаевку ⚡️ Украинские военные после потери Николаевки - начали наносить удары артиллерии и РСЗО по мирным кварталам Николаевки, ещё два назад находившейся под их контролем. Местные жители теперь вынуждены прятаться в подвалах от обстрелов своих бывших «защитников». @wargonzo *наш проект существует исключительно на средства подписчиков, карта для помощи: 4584432812339266","['Appeal_to_fear-prejudice\t100\t152\n', 'Appeal_to_fear-prejudice\t232\t275\n', 'Name_Calling,Labeling\t289\t301\n', 'Appeal_to_fear-prejudice\t3\t19\n', 'Exaggeration,Minimisation\t20\t44\n']"
⚡️ В строй возвращается авиация запаса Воздушных сил ВСУ.,[]
"Друзья, легендарный некогда канал ""Джига на могиле"", удалённый из-за потери аккаунта владельца, возвращается. Сейчас это — ""Джига на Крещатике""  Не реклама. ""Джига"" — отличный канал, который я с удовольствием читал с года этак 2018.","['Loaded_Language\t167\t175\n', 'Loaded_Language\t0\t6\n', 'Loaded_Language\t8\t19\n', 'Loaded_Language\t145\t155\n', 'Loaded_Language\t193\t208\n']"
"Владимир Зеленский согласен на переговоры с РФ – пресс-секретарь президента Сергей Никифоров Он опроверг заявление российской стороны о том, что Украина якобы отказалась от переговоров. Прямо сейчас идут консультации о месте и времени встречи. «Мы ответили согласием на предложение РФ. В эти часы стороны проводят консультации про место и время проведения переговорного процесса», – написал Никифоров. «Чем быстрее начнутся переговоры, тем больше будет шансов вернуться к нормальной жизни», – добавил пресс-секретарь президента Украины. В СМИ сообщается, что Зеленский попросил премьера Израиля стать посредником в переговорах с Россией.","['Slogans\t403\t488\n', 'Red_Herring\t537\t636\n']"
"Фейк: В Киеве российская ракета попала в жилой дом. Такие сообщения рассылают украинские телеграм-каналы. Правда: Разрушение в жилом доме стали частью работы системы украинской ПВО. Как пишет Readovka, на это указывает как минимум несколько факторов. Во-первых, украинские СМИ распространили данные о продолжении российской десантной операции в пригороде киевской столицы, в том числе, с участием вертолетов. Вероятнее всего, ракета предназначалась российской авиации, но траектория была рассчитана неверно, поэтому она прилетела в окна простым гражданам. Кроме того, ракета темного цвета, ее инверсионный след — белый, характерный для выстрела ЗРК «Бук», который стоит на вооружении ВСУ. Удары «Калибра» и «Искандера» полностью исключены: их выстрел разрушил бы здание. Кроме того, у «Калибра» турбореактивный двигатель без шлейфа, а это явно твердотопливная.","['Appeal_to_fear-prejudice\t516\t554\n', 'Exaggeration,Minimisation\t719\t738\n', 'Appeal_to_fear-prejudice\t6\t50\n', 'Appeal_to_Authority\t182\t249\n', 'Causal_Oversimplification\t620\t688\n', 'Loaded_Language\t839\t843\n']"
"В Киеве раздали более 25 тысяч автоматов, 10 млн. патронов и ещё РПГ и гранаты - заявил Денис Монастырский. Половина этого окажется потом на черном рынке. остальные конечно приведут ко многим жертвам. Кстати сейчас вроде уже просто так оружие не раздают - это хорошо!","['Loaded_Language\t165\t172\n', 'Appeal_to_fear-prejudice\t108\t153\n', 'Appeal_to_fear-prejudice\t155\t199\n', 'Loaded_Language\t256\t266\n']"
Уничтоженный украинский военный грузовик в Токмаке. Запорожская область,"['Flag-Waving\t0\t50\n', 'Appeal_to_fear-prejudice\t0\t50\n']"
"@rybar , я Вам больше скажу, ТВИТТЕР ДАВНО НУЖНО ЗАКРЫВАТЬ НА ТЕРРИТОРИИ РФ. https://t.me/rybar/25538","['Loaded_Language\t29\t75\n', 'Loaded_Language\t9\t27\n']"
"В Кремле, похоже, вспомнили недавние слова Кадырова, который рвался «решить вопрос Украины» и «присоединить её к Чечне» на фоне приезда в республику Мицаевой. Ну а что, зря, что ли, предлагал? Теперь чеченских добровольцев отправили отдуваться вместе с ВС РФ в «самых горячих точках на Украине», как их обозначил господин Дудаев и сам глава Чечни. Сколько именно чеченцев сейчас находится там, не уточняется. А вот где сам Кадыров - секрет. Такую конфиденциальную военную информацию разглашать нельзя, утверждает Рамзан Ахматович. В последний раз глава Чечни отметился в Грозном на параде из 12 тысяч силовиков, прямо перед объявлением Дудаева об участии чеченских бойцов в украинской операции. Что ж, секрет так секрет. #внешняя_политика","['Loaded_Language\t159\t167\n', 'Loaded_Language\t169\t180\n', 'Loaded_Language\t233\t243\n', 'Loaded_Language\t433\t439\n', 'Loaded_Language\t559\t568\n', 'Obfuscation,Intentional_Vagueness,Confusion\t702\t719\n', 'Loaded_Language\t695\t700\n', 'Exaggeration,Minimisation\t672\t693\n', 'Exaggeration,Minimisation\t612\t623\n', 'Loaded_Language\t61\t67\n', 'Exaggeration,Minimisation\t210\t243\n', 'Slogans\t69\t90\n']"
"При виде колонны техники вежливых людей армии Освобождения на въезде в Киев щиру україночку переполняют чувства и она много раз повторяет в форме глагола то, чего ей так не хватает по жизни в окружении политических, и не только, импотентов. #Освобождение  Владимир Рогов","['Name_Calling,Labeling\t25\t39\n', 'Loaded_Language\t46\t58\n', 'Name_Calling,Labeling\t76\t91\n', 'Loaded_Language\t92\t111\n', 'Loaded_Language\t118\t239\n', 'Name_Calling,Labeling\t202\t239\n', 'Exaggeration,Minimisation\t40\t58\n']"
"Уровень запасов газа в подземных хранилищах Европы опустился ниже 30%, свидетельствуют данные Gas Infrastructure Europe. Впервые за все время наблюдений, которые ведутся с 2011 года, это произошло так рано с начала года.","['Causal_Oversimplification\t121\t219\n', 'Appeal_to_fear-prejudice\t121\t219\n', 'Appeal_to_fear-prejudice\t0\t69\n']"
"Сегодня в Харькове в городской застройке украинцы размещают артиллерию. К сожалению происходит худший вариант развития событий, о котором я писал. Украинцы хотят прикрыться мирными харьковчанами и превратить Харьков в поле боя. Сейчас появляется всё больше видео с городов, занятых российскими войсками. В Мелитополе Запорожской области уже российская администрация, а террора нет. Разрушений нет. Войны больше нет. Харьковчане, помогите спасти ваш город, не позволить украинским радикалам размещать военную технику возле своих домов. Информируйте нас о передвижениях радикалов в вашем городе @vestovoibot","['Appeal_to_fear-prejudice\t95\t109\n', 'Name_Calling,Labeling\t469\t489\n', 'Name_Calling,Labeling\t568\t577\n', 'Exaggeration,Minimisation\t398\t414\n', 'Repetition\t393\t396\n', 'Loaded_Language\t197\t226\n', 'Causal_Oversimplification\t156\t180\n', 'Appeal_to_fear-prejudice\t197\t226\n', 'Appeal_to_fear-prejudice\t156\t180\n', 'Slogans\t429\t454\n']"
"https://t.me/swodki/25299 https://t.me/swodki/25287 https://t.me/swodki/25288 И самое время, в который раз, спросить ""защо?"" у своих же ??","['Loaded_Language\t117\t124\n', 'Loaded_Language\t136\t138\n']"
"Заява командира полку Азов, друга Редіса. Захисники Маріуполя будуть захищати місто до останньої краплі крові!!!",['Loaded_Language\t84\t109\n']
Походу это ПВОшнкая ракета. Видео с пусками ЗРК ранее выкладывалось.,['Doubt\t0\t6\n']
"В проливе Ла-Манш 26 февраля задержали российское грузовое судно Baltic Leader. Мы собрали все, что известно об инциденте на данный момент.",[]
#АГС_Сводка 20.55 - Мощные прилеты хаотично по все тем же районам в зоне риска в Горловке. Всем быть в укрытиях.,['Loaded_Language\t20\t26\n']
"Никакого большинства жителей Украины, которые поддерживали бы вступление страны в НАТО, нет. Об этом в нашем стриме «Летучка» рассказывает Александр Семченко, член политсовета украинской партии «Держава». Подписывайтесь на наш канал . @rt_russian","['Appeal_to_Authority\t126\t157\n', 'Exaggeration,Minimisation\t0\t36\n']"
В Святошинском районе Киева слышны взрывы,[]
"Если ребята продержатся до светла, при поддержке нашей авиации ""выкурить"" их оттуда будет уже невозможно https://t.me/mig41/13381","['Exaggeration,Minimisation\t84\t104\n']"
"Местный персонал посольства США в Киеве переживает. Бросили, мол. Хлопцы события в Кабуле не смутили? Мы с @sashakots тогда еще говорили, что участь коллаборационистов одна. @epoddubny","['Name_Calling,Labeling\t149\t167\n', 'Name_Calling,Labeling\t66\t72\n', 'Whataboutism\t73\t101\n', 'Loaded_Language\t52\t64\n']"
"Зеленский заявил, что Турция запретила проход российских боевых кораблей через Черноморские проливы Также он сообщил, что Эрдоган поставит большой объем военной и гуманитарной помощи на Украину.",[]
"⚡️ НМ ДНР отрезали Волноваху от Мариуполя ⚡️ Заняв Донское группа войск ДНР фактически обошла Волноваху и взяла под прицел трассу на Мариуполь. Гарнизон ВСУ в Волновахе, в свою очередь, теперь рискует попасть в котёл. Учитывая что россияне в свою очередь зашли в Мелитополь, а сегодня и вовсе высадились в Бердянске - добавьте сюда контроль над трассой из Волновахе - и получите «Мариупольский котёл». Список котлов, в который ВСУ попадали во время конфликта на Донбассе - Изваринский, Иловайский, Дебальцевский - вероятнее всего совсем скоро породнится ещё одним. Мариупольским. @wargonzo https://t.me/wargonzo/6023","['Appeal_to_fear-prejudice\t193\t216\n', 'Exaggeration,Minimisation\t3\t9\n', 'Exaggeration,Minimisation\t59\t75\n', 'Exaggeration,Minimisation\t449\t470\n']"
"Российские военные уничтожили шесть боевых самолетов, один вертолет и пять авиабеспилотников Украины, сообщили в Минобороны РФ.",[]
"⚡️ Во время выступления Порошенко в прямом эфире, у охранника экс-президкнта выпал магазин из автомата. Из серии сегодняшнего фото Юлии Тимошенко с автоматом без рожка. @CONQUEROR95",[]
"Украинская сторона не предоставляет населению возможность покинуть зону боевых действий по гуманитарным коридорам, заявил Басурин. @rt_russian",['Appeal_to_Authority\t115\t129\n']
"❗️ Украинские СМИ сообщают, что Владимир Зеленский придумал грандиозный ход – заставить иностранцев воевать на своей стороне Президент Украины заявил о формировании Интернационального легиона , в который могут записаться иностранцы, чтобы приехать на Украину и погибать воевать","['Straw_Men\t261\t269\n', 'Exaggeration,Minimisation\t60\t71\n', 'Straw_Men\t78\t124\n']"
"Говорят, что из-за действий российских либеральных деятелей культуры, требующих мира с Украиной, в законодательство могут ввести понятие ""антигосударственная деятельность"" . Однако информационная поддержка противника во время активной фазы боевых действий, осуществляемая по призыву руководства вооруженными силами противника, антигосударственной деятельностью никак не является. Это - государственная измена в форме иной помощи иностранному государству в деятельности, направленной против безопасности Российской Федерации. Именно по этой статье и нужно привлекать внезапно проснувшихся и выползших из нор ""любителей мира"" с врагом.","['Loaded_Language\t566\t606\n', 'Name_Calling,Labeling\t607\t623\n', 'Appeal_to_fear-prejudice\t386\t408\n']"
"Гордон продолжает защищать Украину с автоматом в руках срать в уши украинцам через свои соцсети. В этот раз он зачитал некую инсайдерскую инфу, которую якобы перехватила разведка Украины и передала лично лысому рэмбо ""по особым каналам"". Каналам каким, анальным?","['Loaded_Language\t55\t76\n', 'Doubt\t152\t157\n', 'Name_Calling,Labeling\t204\t216\n', 'Loaded_Language\t238\t262\n', 'Loaded_Language\t119\t142\n', 'Doubt\t119\t142\n']"
Ещё фото ТОС «Солнцепёк» в Токмаке.,[]
Уничтоженный Бук ВСУ,['Appeal_to_fear-prejudice\t0\t20\n']
"Фейк: Зеленский находится на линии фронта в бронежилете и каске. Такие фото публикуют СМИ и иностранные политики. Правда: Фото сделаны в апреле 2021 года, когда Владимир Зеленский посетил Донецкую народную республику. Они неоднократно использовались СМИ. А индийские издания уже успели разоблачить фейк. А вот декабрьский пример фотографии на Reuters.","['Loaded_Language\t114\t121\n', 'Loaded_Language\t0\t5\n', 'Repetition\t298\t302\n', 'Exaggeration,Minimisation\t188\t216\n']"
@lebedevalive,[]
Порошенко покинул Украину – источник из его окружения.,['Appeal_to_Authority\t28\t53\n']
Байден во время брифинга уронил папку с конспектом,[]
"Точечным взрывом разрушена дамба на Северо-Крымском канале, которая с 2014 года блокировала доступ воды из Днепра в Крым. После очистки русла, вода пойдёт на полуостров.",[]
"Алешки. Херсонская область. Разгромленная колона ВСУ. Обратите внимание, что большая часть техники просто брошена.","['Appeal_to_fear-prejudice\t28\t52\n', 'Loaded_Language\t54\t113\n']"
Армия рф штурмует Харьков. Таких видео сегодня будет много.,['Appeal_to_fear-prejudice\t27\t58\n']
"Санкции Канады против Путина и Лаврова не останутся без ответа, заявил посол РФ в Оттаве.",[]
"Еще один ракурс уничтоженного Т-72Б3 ВС РФ под Черниговом. Данный конкретный танк интересен нестандартным навариванием решеток. Помимо уже привычного бесполезного ""козырька"" на крыше, здесь явно пытались приварить дополнительный каркас вдоль всей башни.",['Repetition\t139\t173\n']
"Боррель заявил, что предложит странам ЕС 27 февраля направить помощь вооруженным силам Украины.",[]
"#Прямосейчас ведем прямую трансляцию из Луганской Народной Республики.
 
 Видео: Ruptly/ТАСС
 
 Подписывайтесь на ТАСС: http://www.youtube.com/c/TASSagency/?sub_confirmation=1
 
 Наш сайт: https://tass.ru/
 Мы ВКонтакте: https://vk.com/tassagency
 Мы в Facebook: https://www.facebook.com/tassagency/
 Мы в Instagram: https://www.instagram.com/tass_agency/
 Мы в Одноклассниках: https://ok.ru/tassagency
 Мы в Twitter: https://twitter.com/tass_agency
 Мы в Telegram: https://t.me/tass_agency
 Мы в Viber: https://vb.me/tass_agency
 
 #ЛНР #Луганск #ОбстановкаВЛНР #НовостиЛНР #ЧтоПроисходитВЛНР #СобытияВЛНР #ЛНРСегодня #ТрансляцияИзЛНР #ЛНРВПрямомЭфире","['Exaggeration,Minimisation\t26\t69\n', 'Exaggeration,Minimisation\t518\t522\n', 'Exaggeration,Minimisation\t532\t547\n', 'Exaggeration,Minimisation\t548\t559\n', 'Exaggeration,Minimisation\t564\t578\n', 'Exaggeration,Minimisation\t579\t591\n', 'Exaggeration,Minimisation\t592\t603\n', 'Exaggeration,Minimisation\t604\t620\n', 'Exaggeration,Minimisation\t621\t625\n']"
⚡️ Правительственная IT-инфраструктура Крыма атакована хакерами,[]
